meat,satay,bread,veggies,likes frogs
other,N,white,"['cucumber', 'onions', 'lettuce']",0
other,N,white,"['cucumber', 'carrots', 'cilantro', 'jalapeno']",0
chicken,N,white,"['cucumber', 'carrots', 'cilantro', 'onions', 'lettuce', 'jalapeno']",0
beef,Y,white,['cucumber'],0
other,Y,brown,"['carrots', 'onions', 'lettuce', 'jalapeno']",1
beef,Y,white,"['cilantro', 'onions']",0
chicken,N,white,"['carrots', 'cilantro', 'onions', 'jalapeno']",0
chicken,N,brown,['cilantro'],1
beef,N,brown,"['cucumber', 'cilantro', 'lettuce', 'jalapeno']",1
beef,Y,brown,"['cucumber', 'carrots', 'cilantro', 'jalapeno']",1
beef,Y,white,"['onions', 'lettuce', 'jalapeno']",0
beef,N,white,"['cucumber', 'carrots', 'onions', 'lettuce', 'jalapeno']",0
other,N,white,"['cucumber', 'carrots', 'cilantro', 'onions']",0
beef,N,white,"['cucumber', 'carrots', 'cilantro', 'lettuce']",1
chicken,Y,white,"['carrots', 'cilantro', 'onions', 'jalapeno']",0
beef,Y,white,"['cucumber', 'carrots', 'onions', 'lettuce']",0
beef,Y,white,"['cucumber', 'carrots', 'lettuce']",0
beef,N,brown,"['carrots', 'onions', 'lettuce', 'jalapeno']",1
chicken,N,brown,['carrots'],0
other,N,white,"['cucumber', 'carrots', 'onions', 'lettuce', 'jalapeno']",0
other,N,white,"['lettuce', 'jalapeno']",0
other,Y,brown,"['cucumber', 'carrots', 'onions']",0
chicken,Y,white,['cilantro'],1
other,Y,white,"['carrots', 'lettuce']",0
other,Y,brown,"['cucumber', 'carrots', 'lettuce', 'jalapeno']",1
chicken,N,white,"['cucumber', 'cilantro', 'lettuce', 'jalapeno']",1
chicken,N,white,"['carrots', 'cilantro']",1
chicken,Y,white,"['carrots', 'cilantro', 'lettuce', 'jalapeno']",1
chicken,Y,brown,"['cucumber', 'carrots', 'cilantro', 'lettuce', 'jalapeno']",0
chicken,Y,brown,"['cucumber', 'cilantro']",1
other,Y,brown,"['cilantro', 'onions', 'lettuce']",1
other,N,white,"['cucumber', 'carrots', 'lettuce']",0
chicken,Y,white,"['cucumber', 'carrots', 'cilantro', 'onions']",0
beef,Y,brown,"['carrots', 'cilantro', 'onions', 'lettuce', 'jalapeno']",1
beef,N,white,"['carrots', 'cilantro', 'onions', 'lettuce', 'jalapeno']",0
other,N,white,['carrots'],0
beef,Y,white,"['carrots', 'onions', 'lettuce']",0
chicken,Y,white,"['cucumber', 'lettuce', 'jalapeno']",1
beef,N,white,"['carrots', 'cilantro', 'jalapeno']",1
other,Y,white,"['carrots', 'cilantro', 'onions', 'jalapeno']",0
other,Y,white,"['carrots', 'lettuce']",0
chicken,Y,brown,"['cucumber', 'lettuce', 'jalapeno']",1
other,N,white,"['cucumber', 'carrots', 'cilantro', 'jalapeno']",0
chicken,N,white,"['carrots', 'cilantro', 'lettuce']",1
beef,Y,white,"['cucumber', 'cilantro', 'lettuce']",1
beef,Y,white,"['carrots', 'cilantro', 'onions', 'lettuce']",0
other,Y,white,"['cucumber', 'lettuce', 'jalapeno']",1
other,N,white,['lettuce'],0
beef,Y,brown,"['cucumber', 'carrots', 'cilantro', 'onions', 'lettuce']",1
other,Y,white,"['onions', 'lettuce', 'jalapeno']",0
other,Y,brown,['onions'],0
other,Y,white,"['cucumber', 'carrots', 'onions', 'lettuce', 'jalapeno']",0
other,Y,brown,"['cucumber', 'onions']",0
chicken,N,white,"['carrots', 'onions', 'lettuce', 'jalapeno']",0
chicken,N,brown,['onions'],0
other,N,white,"['cilantro', 'onions', 'jalapeno']",0
chicken,Y,brown,['onions'],0
beef,Y,white,"['carrots', 'cilantro']",1
